Ano,País,País 1,Pais 2,Título US,Título Original,Diretor,Watchedby,Listado (qtd),Liked,Ranking,Fans,Rating,Duração,Sinopse,Gênero,Gênero 1,Gênero 2,Gênero 3,Temas,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5
2002,['Brazil'],Brazil,--,City of God,‘Cidade de Deus’,Fernando Meirelles,379k,77k,133k,24,10k,4.4,130,"Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes…","['crime', 'drama']",crime,drama,--,"['Crime, drugs and gangsters', 'drugs, violence, crime, gritty or cops', 'violence, action, guns, cops or killing', 'gangster, crime, criminal, violence or ruthless', 'violence, shock, disturbing, brutal or graphic', 'prison, jail, criminal, convicts or brutal']","Crime, drugs and gangsters","drugs, violence, crime, gritty or cops","violence, action, guns, cops or killing","gangster, crime, criminal, violence or ruthless","violence, shock, disturbing, brutal or graphic"
2012,"['Brazil', 'USA']",Brazil,USA,Frances Ha,Frances Ha,Noah Baumbach,305k,79k,111k, ,9.2k,4.0,86,"An aspiring dancer moves to New York City and becomes caught up in a whirlwind of flighty fair-weather friends, diminishing fortunes and career setbacks.","['comedy', 'drama']",comedy,drama,--,"['Relationship comedy', 'Song and dance', 'Underdogs and coming of age', 'dancing, choreography, songs, tune or musical', 'romance, emotion, relationships, feelings or captivating', 'teenager, school, friendship, funny or nerds', 'romance, charming, comedy, delightful or witty', 'singing, musical, songs, tune or dancing']",Relationship comedy,Song and dance,Underdogs and coming of age,"dancing, choreography, songs, tune or musical","romance, emotion, relationships, feelings or captivating"
2019,"['Brazil', 'China', 'USA']",Brazil,China,Ad Astra,Ad Astra,James Gray,299k,62k,65k, ,506,3.4,123,"The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.","['drama', 'science-fiction']",drama,science-fiction,--,"['Monsters, aliens, sci-fi and the apocalypse', 'earth, sci-fi, space, spaceship or scientific', 'sci-fi, aliens, space, spaceship or earth', 'destruction, disaster, earth, scientific or mankind', 'future, sci-fi, technology, action or technological', 'disaster, exciting, boats, voyage or adventure']","Monsters, aliens, sci-fi and the apocalypse","earth, sci-fi, space, spaceship or scientific","sci-fi, aliens, space, spaceship or earth","destruction, disaster, earth, scientific or mankind","future, sci-fi, technology, action or technological"
2009,"['Brazil', 'Canada', 'France', 'Germany', 'Italy']",Brazil,Canada,Enter the Void,Enter the Void,Gaspar Noé,150k,39k,44k, ,2.9k,3.7,161,"This psychedelic tour of life after death is seen entirely from the point of view of Oscar, a young American drug dealer and addict living in Tokyo with his prostitute sister, Linda. When Oscar is killed by police during a bust gone bad, his spirit journeys from the past – where he sees his parents before their deaths – to the present – where he witnesses his own autopsy – and then to the future, where he looks out for his sister from beyond the grave.","['fantasy', 'drama']",fantasy,drama,--,"['Humanity and the world around us', 'Intense violence and sexual transgression', 'Faith and religion', 'death, profound, symbolism, philosophical or vision', 'sex, sexuality, relationships, erotic or feelings', 'sexuality, sex, disturbed, unconventional or challenging', 'violence, shock, disturbing, brutal or graphic', 'weird, surreal, bizarre, dream or confusing']",Humanity and the world around us,Intense violence and sexual transgression,Faith and religion,"death, profound, symbolism, philosophical or vision","sex, sexuality, relationships, erotic or feelings"
2019,"['Brazil', 'France']",Brazil,France,Bacurau,Bacurau,Kleber Mendonça Filho,111k,31k,41k, ,1.2k,4.1,131,"Bacurau, a small town in the Brazilian sertão, mourns the loss of its matriarch, Carmelita, who lived to be 94. Days later, its inhabitants notice that their community has vanished from most maps.","['thriller', 'western', 'mystery']",thriller,western,mystery,"['Politics and human rights', 'Westerns', 'political, democracy, president, documentary or propaganda', 'cannibals, gory, gruesome, graphic or shock', 'future, sci-fi, technology, action or technological', 'violence, shock, disturbing, brutal or graphic', 'western, outlaw, cowboy, shootout or gunfight']",Politics and human rights,Westerns,"political, democracy, president, documentary or propaganda","cannibals, gory, gruesome, graphic or shock","future, sci-fi, technology, action or technological"
2015,"['Brazil', 'USA']",Brazil,USA,Mistress America,Mistress America,Noah Baumbach,66k,19k,17k, ,271,3.6,84,"Tracy, a lonely college freshman in New York, is rescued from her solitude by her soon-to-be stepsister Brooke, an adventurous gal about town who entangles her in alluringly mad schemes.",['comedy'],comedy,--,--,"['Relationship comedy', 'Underdogs and coming of age', 'Crude humor and satire', 'romance, charming, comedy, delightful or witty', 'chemistry, hilarious, romantic comedy, sweet or humorous', 'teenager, school, friendship, funny or nerds', 'comedy, relationships, funny, quirky or humor', 'musical, songs, singing, comedy or funny']",Relationship comedy,Underdogs and coming of age,Crude humor and satire,"romance, charming, comedy, delightful or witty","chemistry, hilarious, romantic comedy, sweet or humorous"
2000,['Brazil'],Brazil,--,A Dog’s Will,‘O Auto da Compadecida’,Guel Arraes,68k,11k,29k,5,1.4k,4.5,104,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small Northeast Brazil town. But when they die, they have to be judged by Christ, the Devil and the Virgin Mary, before they are admitted to paradise. The edited theatrical version of O Auto da Compadecida.","['drama', 'fantasy', 'comedy']",drama,fantasy,comedy,"['Faith and religion', 'Crude humor and satire', 'Relationship comedy', 'jesus, religion, faith, beliefs or holy', 'funny, comedy, humor, jokes or hilarious', 'religion, church, faith, beliefs or spiritual', 'comedy, funny, humor, hilarious or jokes', 'chemistry, hilarious, romantic comedy, sweet or humorous']",Faith and religion,Crude humor and satire,Relationship comedy,"jesus, religion, faith, beliefs or holy","funny, comedy, humor, jokes or hilarious"
1998,['Brazil'],Brazil,--,Central Station,‘Central do Brasil’,Walter Salles,52k,15k,19k,22,1.8k,4.4,110,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",['drama'],drama,--,--,"['Faith and religion', 'Moving relationship stories', 'religion, church, faith, beliefs or spiritual', 'family, emotional, emotion, touching or kids', 'emotional, emotion, family, moving or feelings', 'touching, emotion, emotional, family or cry', 'journey, scientific, humanity, documentary or earth']",Faith and religion,Moving relationship stories,"religion, church, faith, beliefs or spiritual","family, emotional, emotion, touching or kids","emotional, emotion, family, moving or feelings"
2014,['Brazil'],Brazil,--,The Way He Looks,‘Hoje Eu Quero Voltar Sozinho’,Daniel Ribeiro,71k,16k,22k, ,1.1k,4.0,96,"Leonardo is a blind teenager dealing with an overprotective mother while trying to live a more independent life. To the disappointment of his best friend, Giovana, he plans to go on an exchange program abroad. When Gabriel, a new student in town, arrives at their classroom, new feelings blossom in Leonardo making him question his plans.","['romance', 'drama']",romance,drama,--,"['Underdogs and coming of age', 'Moving relationship stories', 'Relationship comedy', 'gay, sexuality, relationships, feelings or homophobic', 'school, teacher, student, classroom or classmates', 'teenager, friendship, sad, adolescents or coming of age', 'teenager, school, friendship, funny or nerds', 'surfing, teenager, friendship, kids or adolescents']",Underdogs and coming of age,Moving relationship stories,Relationship comedy,"gay, sexuality, relationships, feelings or homophobic","school, teacher, student, classroom or classmates"
1997,"['Brazil', 'Peru', 'USA']",Brazil,Peru,Anaconda,Anaconda,Luis Llosa,109k,11k,8.1k, ,30,2.3,89,"A “National Geographic” film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world’s largest - and deadliest - snake.","['adventure', 'thriller', 'horror']",adventure,thriller,horror,"['Monsters, aliens, sci-fi and the apocalypse', 'Horror, the undead and monster classics', 'Epic heroes', 'monster, creature, dinosaurs, scientist or beast', 'cannibals, gory, gruesome, graphic or shock', 'creature, aliens, monster, sci-fi or scary', 'horror, scientist, monster, doctor or experiment', 'adventure, epic, exciting, action or tribe']","Monsters, aliens, sci-fi and the apocalypse","Horror, the undead and monster classics",Epic heroes,"monster, creature, dinosaurs, scientist or beast","cannibals, gory, gruesome, graphic or shock"
2015,['Brazil'],Brazil,--,The Second Mother,‘Que Horas Ela Volta?’,Anna Muylaert,45k,12k,14k,112,429,4.2,112,"After leaving her daughter Jessica in a small town in Pernambuco to be raised by relatives, Val spends the next 13 years working as a nanny to Fabinho in São Paulo. She has financial stability but has to live with the guilt of having not raised Jessica herself. As Fabinho’s university entrance exams approach, Jessica reappears in her life and seems to want to give her mother a second chance. However, Jessica has not been raised to be a servant and her very existence will turn Val’s routine on its head. With precision and humour, the subtle and powerful forces that keep rigid class structures in place and how the youth may just be the ones to shake it all up. ×",['drama'],drama,--,--,"['Moving relationship stories', 'Relationship comedy', 'emotional, emotion, family, moving or feelings', 'family, emotional, emotion, touching or kids', 'marriage, drama, family, emotional or emotion', 'touching, emotion, emotional, family or cry', 'emotion, emotional, moving, feelings or sadness']",Moving relationship stories,Relationship comedy,"emotional, emotion, family, moving or feelings","family, emotional, emotion, touching or kids","marriage, drama, family, emotional or emotion"
