Ano,title,Rating,Duração,Taxa_Liked_Watched,Id,atributos
2002,‘Cidade de Deus’,4.4,130,0.35,0,"City of God Fernando Meirelles Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes… crime drama --"
2000,‘O Auto da Compadecida’,4.5,104,0.43,1,"A Dog’s Will Guel Arraes The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small Northeast Brazil town. But when they die, they have to be judged by Christ, the Devil and the Virgin Mary, before they are admitted to paradise. The edited theatrical version of O Auto da Compadecida. drama fantasy comedy"
1998,‘Central do Brasil’,4.4,110,0.37,2,"Central Station Walter Salles An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew. drama -- --"
2014,‘Hoje Eu Quero Voltar Sozinho’,4.0,96,0.31,3,"The Way He Looks Daniel Ribeiro Leonardo is a blind teenager dealing with an overprotective mother while trying to live a more independent life. To the disappointment of his best friend, Giovana, he plans to go on an exchange program abroad. When Gabriel, a new student in town, arrives at their classroom, new feelings blossom in Leonardo making him question his plans. romance drama --"
2015,‘Que Horas Ela Volta?’,4.2,112,0.31,4,"The Second Mother Anna Muylaert After leaving her daughter Jessica in a small town in Pernambuco to be raised by relatives, Val spends the next 13 years working as a nanny to Fabinho in São Paulo. She has financial stability but has to live with the guilt of having not raised Jessica herself. As Fabinho’s university entrance exams approach, Jessica reappears in her life and seems to want to give her mother a second chance. However, Jessica has not been raised to be a servant and her very existence will turn Val’s routine on its head. With precision and humour, the subtle and powerful forces that keep rigid class structures in place and how the youth may just be the ones to shake it all up. × drama -- --"
2007,‘Tropa de Elite’,3.9,115,0.2,5,"Elite Squad José Padilha In 1997, before the visit of the pope to Rio de Janeiro, Captain Nascimento from BOPE (Special Police Operations Battalion) is assigned to eliminate the risks of the drug dealers in a dangerous slum nearby where the pope intends to be lodged. action drama crime"
2019,‘Democracia em Vertigem’,3.8,121,0.2,6,"The Edge of Democracy Petra Costa A cautionary tale for these times of democracy in crisis—the personal and political fuse to explore one of the most dramatic periods in Brazilian history. With unprecedented access to Presidents Dilma Rousseff and Lula da Silva, we witness their rise and fall and the tragically polarized nation that remains. documentary -- --"
1980,‘Pixote: A Lei do Mais Fraco’,4.1,128,0.29,7,"Pixote Héctor Babenco 10-year-old Pixote endures torture, degradation, and corruption at a local youth detention center where two of its members are murdered by policemen who frame Lilica, a 17-year-old trans hustler. Pixote helps Lilica and three other boys escape and they start to make their living by a life of crime which only escalates to more violence and death. crime drama --"
1984,‘Cabra Marcado Para Morrer’,4.6,119,0.4,8,"Twenty Years Later Eduardo Coutinho Eduardo Coutinho was filming a movie with the same name in the Northeast of Brazil, in 1964, when there came the military coup. He had to interrupt the project, and came back to it in 1981, looking for the same places and people, showing what had ocurred since then, and trying to gather a family whose patriarch, a political leader fighting for rights of country people, had been murdered. documentary -- --"
1964,‘Deus e o Diabo na Terra do Sol’,4.1,120,0.28,9,"Black God, White Devil Glauber Rocha Cowherd Manoel and his wife are on the run in the drought-plagued and violent Brazilian badlands of 1940 after he kills a rich grazier. Moving credulously from one allegiance to another, they finally learn that the land belongs neither to God nor the Devil, but to the people. adventure western drama"
2010,‘Tropa de Elite 2’,3.9,115,0.19,10,"Elite Squad: The Enemy Within José Padilha After a bloody invasion of the BOPE in the High-Security Penitentiary Bangu 1 in Rio de Janeiro to control a rebellion of interns, the Lieutenant-Colonel Roberto Nascimento and the second in command Captain André Matias are accused by the Human Right Aids member Diogo Fraga of execution of prisoners. Matias is transferred to the corrupted Military Police and Nascimento is exonerated from the BOPE by the Governor. crime action drama"
2012,‘O Som ao Redor’,3.8,131,0.24,11,"Neighboring Sounds Kleber Mendonça Filho Life in a middle-class neighbourhood in present day Recife, Brazil, takes an unexpected turn after the arrival of an independent private security firm. The presence of these men brings a sense of safety and a good deal of anxiety to a culture which runs on fear. Meanwhile, Bia, married and mother of two, must find a way to deal with the constant barking and howling of her neighbour’s dog. A slice of ‘Braziliana’, a reflection on history, violence and noise. crime thriller drama"
2021,‘A Menina Que Matou os Pais’,2.9,85,0.09,12,"The Girl Who Killed Her Parents Maurício Eça Based on one of the most shocking and gruesome murder cases in Brazil, the film presents Daniel Cravinhos’s point of view of the events that led to the death of Marísia and Manfred von Richthofen, his girlfriend’s parents. thriller crime drama"
2021,‘O Menino Que Matou Meus Pais’,2.9,88,0.09,13,"The Boy Who Killed My Parents Maurício Eça Based on one of the most shocking and gruesome murder cases in Brazil, the film presents de Suzane von Richthofen’s point of view of the events that led to the death of her parents. drama crime thriller"
1999,‘O Auto da Compadecida’,4.7,174,0.48,14,A Dog’s Will Guel Arraes The (mis)adventures of João Grilo and Chicó in Brazil’s Northeastern region. The four-chapter miniseries original version of O Auto da Compadecida. comedy drama --
2013,‘O Menino e o Mundo’,3.9,80,0.27,15,"Boy & the World Alê Abreu Suffering because of his father’s departure to the big city, a boy leaves his village and discovers a fantastic world dominated by bug-engines and strange beings. An unusual animation with various artistic techniques that portrays the issues of the modern world through the eyes of a child. adventure animation family"
1967,‘Terra em Transe’,4.1,106,0.28,16,"Entranced Earth Glauber Rocha Eldorado, a fictitious country in America, is sparkling with the internal struggle for political power. In the eye of this social convulsion, the jaded journalist Paulo Martins opposes two equally corrupt political candidates: a pseudopopulist and a conservative. In this context, Paulo is torn between the madness of the elite and the blind submission of the masses. But, in this complex tropical reality, nothing really is what it seems to be. thriller drama --"
1931,Limite,3.9,120,0.24,17,"Limite Mário Peixoto An astonishing creation, Limite is the only feature by the Brazilian director and author Mário Peixoto, made when he was just 22 years old. Inspired by a haunting André Kertész photograph on the cover of a French magazine, this avant-garde silent master­piece centres on a man and two women lost at sea, their pasts unfolding through flashbacks propelled by the music of Erik Satie, Claude Debussy, Igor Stravinsky, and others. An early work of independent South American filmmaking, Limite was famously difficult to see for most of the twentieth century. It is a pioneering achievement that continues to captivate with its timeless visual poetry. × drama adventure --"
1962,‘O Pagador de Promessas’,4.3,98,0.3,18,"The Given Word Anselmo Duarte Zé is a very poor man whose most prized possession is his donkey. When his donkey falls terminally ill, Zé makes a promise to Saint Bárbara: If his donkey recovers, he will carry a cross - like Jesus - all the way from his city to Saint Bárbara’s church, in the state capital. Upon the recover of his donkey, Zé leaves on his journey. He makes it to the church, but the priest refuses to accept the cross once he discovers the context of Zé’s promise. drama -- --"
1989,‘Ilha das Flores’,4.3,13,0.27,19,"Isle of Flowers Jorge Furtado A tomato is planted, harvested and sold at a supermarket, but it rots and ends up in the trash. But it doesn’t end there: Isle of Flowers follows it up until its real end, among animals, trash, women and children. And then the difference between tomatoes, pigs and human beings becomes clear. documentary -- --"
2019,Marighella,3.8,155,0.29,20,"Marighella Wagner Moura Afro-Brazilian poet and politician, the legendary Carlos Marighella. Driven to fight against the erosion of civil and human rights following the CIA-backed military coup of 1964 and the brutal, racist right-wing dictatorship that followed, the revolutionary leaves behind his wife and son to take up arms, becoming a notorious enemy to the power structure. history drama thriller"
2007,‘Jogo de Cena’,4.5,100,0.41,21,"Playing Eduardo Coutinho Following a newspaper ad, ordinary women tell part of their life stories to director Eduardo Coutinho, which are then re-enacted by actresses, blurring the barriers between truth, fiction and interpretation. documentary -- --"
1964,‘À Meia Noite Levarei Sua Alma’,3.8,82,0.28,22,At Midnight I’ll Take Your Soul José Mojica Marins Coffin Joe terrorizes a small peasant community in his search for the perfect woman to bear him a child. horror -- --
2002,‘Edifício Master’,4.4,110,0.35,23,"Master, a Building in Copacabana Eduardo Coutinho “Master” is the name of a 12-story apartment building in Copacabana, Rio de Janeiro’s neighborhood for nightlife. Over the course of four weeks in 2001, Eduardo Coutinho’s film crew rented one of the 276 apartments and used it as home base to make a film about the building’s residents. We get to know the building manager, who succeeded in turning the troubled residence into a family complex within just a few years. Using interviews and a few stolen moments in the corridors of the building, Coutinho explores this world. Most of the building’s residents come from the lower middle class and are just getting by, but that’s just about the only thing they have in common - so many people, so many stories, sometimes told in a self-confident tone, sometimes with averted eyes. The fact that a film crew is interested in their stories puzzles some of them. Hope, fear, dreams, memories, love and loneliness all appear from behind the doors of this average apartment building. × documentary -- --"
2020,‘Tudo Bem no Natal Que Vem’,3.5,101,0.2,24,"Just Another Christmas Roberto Santucci After taking a very nasty fall on Christmas Eve, grinchy Jorge blacks out and wakes up one year later, with no memory of the year that has passed. He soon realizes that he’s doomed to keep waking up on Christmas Eve after Christmas Eve, having to deal with the aftermath of what his other self has done the other 364 days of the year. family comedy --"
2013,‘Minha Mãe é uma Peça: O Filme’,3.7,85,0.16,25,"My Mom is a Character André Pellenz After another spat with her kids, Dona Hermínia decides to take some time off from them and hides away in her aunt’s house, where she reminisces about her kids in an age when they still needed her. comedy -- --"
2000,‘Bicho de Sete Cabeças’,4.0,74,0.22,26,"Brainstorm Laís Bodanzky A trip to the mental institution hell. This odyssey is lived by Neto, a middle class teenager, who lives a normal life until his father sends him to a mental institution after finding drugs on his pocket. The maconha cigarrete is just the final drop that exposes the family tragedy. Send to a mental institution, Neto gets to know a completely absurd, inhumane reality in which the people are devoured by a corrupt and cruel institution system. The documentary type language used by the director give this movie a sensation of realty that increases even more the impact of the emotions Neto goes through. In the mental institution, Neto is forced to mature. The transformations that he goes through change this relations with his father. × drama -- --"
2013,‘O Lobo Atrás da Porta’,4.0,98,0.23,27,"A Wolf at the Door Fernando Coimbra Based on real events, and set in Rio de Janeiro, A Wolf at the Door is the nerve-rattling tale of a kidnapped child and the terror of the parents left behind. When Sylvia discovers her six-year-old daughter has been picked up at school by an unknown woman, police summon her husband, Bernardo, to the station for questioning. From that point on, the film takes increasingly sinister turns as it delves into the events that led to the girl’s kidnapping. With plot twists that will keep the audience on the edge of their seats, A Wolf at the Door is a darkly disturbing journey into the extreme limits of the human capacity for obsession and revenge. × thriller drama --"
1981,‘Eles não usam black-tie’,4.2,134,0.31,28,"They Don’t Wear Black Tie Leon Hirszman Otavio is an idealistic union leader trying to organize workers at a factory to resist the company’s exploitative practices. His son, Tião, one of the employees, is more of a realist and doesn’t want to risk losing his job by striking. This clash of perspectives puts the father and son at odds. Fortunately, Tião’s mother, Romana, is on hand to act as a moderator between the two opinionated men. drama -- --"
